indonesian,english
ditunda,adjourned
ditunda,delayed
ditunda,postponed
doa,prayer
doktrin,axiom
doktrin,belief
doktrin,doctrine
doktrin,teachings
duka,grief
duka,mourning
duka,sorrow
duka,woe
dukung,approve
dukung,endorse
dukung,support
dukungan,encouragement
dukungan,endorsement
dukungan,endrorsement
dukungan,support
efektif,effective
eksklusif,certain
eksklusif,exclusive
eksklusif,particular
eksklusif,special
eksklusif,specific
empati,compassion
empati,empathy
empati,feelings
empati,sympathy
empati,understanding
fitnah,defamation
fitnah,denigration
fitnah,libel
fitnah,lie
fitnah,slander
fitnah,smear
fitnah,vilification
fokus,concentrate
fokus,focus
fokus,point
fokus,purpose
gagah,bold
gagah,brave
gagah,brawny
gagah,dashing
gagah,gallant
gagah,heroic
gagah,lion-hearted
gagah,manly
gagah,muscular
gagah,strong
gagah,valiant
gagal,bomb
gagal,collapse
gagal,fail
gagal,failed
gagal,flop
gagal,flunk
gagal,unsuccesful
gampang,convenient
gampang,easy
gampang,ez
gampang,piece of cake
gampang,simple
gampang,straightforward
ganggu,annoy
ganggu,bother
ganggu,disturb
ganggu,mess with
gaya,fashion
gaya,manner
gaya,style
gaya,trend
gaya,way
gelap,dark
gelap,illegal
gelap,illicit
gelap,murky
gelap,shadowy
gelap,shady
gelap,tan
gentar,afraid
gentar,fear
gentar,intimidated
gentar,quiver
gentar,scared
gentar,tremble
gertak,bluff
gertak,bully
gertak,intimidate
gertak,scare off
gertak,snarl
gertak,threaten
gila,bonkers
gila,crazy
gila,insane
gila,lunatic
gila,mad
gila,maniac
gila,nuts
gila,off the rocker
gila,out of mind
gila,rabid
guncang,jolt
guncang,rattle
guncang,shake
guncang,shudder
guncangan,quake
guncangan,shock
ha,ha
ha,ha!
ha,huh
ha,lol
ha,wdym
ha,what
habis,all out
habis,done
habis,finish
habis,finished
habis,over
habis,run out
hal,case
hal,matter
hal,regard
hal,stuff
hal,subject
hal,thing
hancur,broken
hancur,busted up
hancur,destroyed
hancur,smashed
hancur,wrecked
hantu,apparition
hantu,devil
hantu,ghost
hantu,monster
hantu,shadow
hantu,spectre
hantu,spirit
hantu,spook
harapan,expectation
harapan,hope
harapan,prospect
harga,cost
harga,price
harga,rate
harga,value
harga,worth
harta,property
harta,riches
harta,treasure
harta,wealth
hasil,fruit
hasil,outcome
hasil,output
hasil,payoff
hasil,product
hasil,result
hati,feeling
hati,heart
hati,liver
hati,soul
hati-hati,beware
hati-hati,careful
hati-hati,cautious
hati-hati,conscious
hati-hati,mindful
hati-hati,safely
hati-hati,wary
hebat,amazing
hebat,awesome
hebat,excellent
hebat,extraordinary
hebat,fabulous
hebat,great
hebat,impressive
hebat,remarkable
hebat,spectacular
hebat,splendid
hebat,superb
hebat,terrific
hebat,wonderful
heboh,excited
heboh,exciting
heboh,lively
heboh,noisy
heboh,up in arms
heroik,heroic
hidup,exist
hidup,existence
hidup,life
hidup,live
hilang,disappear
hilang,go away
hilang,gone
hilang,lost
hilang,missing
hilang,vanish
hukum,law
ikut,engage
ikut,follow
ikut,go along
ikut,go in
ikut,join
ikut,partake
ikut,participate
ikut,string along
ikut,take after
ikut,take part
ilham,epiphany
ilham,insight
ilham,inspiration
ilham,revelation
iman,belief
iman,believe
iman,creed
iman,faith
indah,attractive
indah,beautiful
indah,breathtaking
indah,lovely
indah,magnificent
indah,picturesque
indah,sightly
ingat,have in mind
ingat,remember
ingin,aspire
ingin,desire
ingin,wanna
ingin,want
ingin,wish
ingin,would like
interogasi,interrogation
interogasi,questioning
isi,body
isi,content
isi,filling
isi,inside
isi,stuffing
istimewa,different
istimewa,distinctive
istimewa,excellent
istimewa,exceptional
istimewa,exclusive
istimewa,extraordinary
istimewa,particular
istimewa,preferential
istimewa,priviledged
istimewa,remarkable
istimewa,special
jahat,bad
jahat,corrupt
jahat,devilish
jahat,diabolical
jahat,evil
jahat,malicious
jahat,mean
jahat,scummy
jahat,sinister
jahat,villanous
jahat,wicked
jamin,assure
jamin,guarantee
jatuh,collapse
jatuh,crash
jatuh,drop
jatuh,fall
jatuh,fall down
jatuh,fall off
jatuh,fall over
jatuh,slip up
jatuh,trip
jatuh,tumble
jawab,answer
jawab,reply
jawab,respond
jaya,glorious
jaya,prosperous
jaya,successful
jaya,triumphant
jaya,victorious
jaya,victorius
jelas,certain
jelas,clear
jelas,definite
jelas,evident
jelas,explicit
jelas,obvious
jelas,plain
jelas,sure
jelas,transparent
jelas,vivid
jelek,apalling
jelek,awful
jelek,bad
jelek,crummy
jelek,disreputable
jelek,horrible
jelek,lousy
jelek,nasty
jelek,poor
jelek,shitty
jelek,shoddy
jelek,terrible
jelek,ugly
jenis,kind
jenis,type
jenis,variety
jual,offer
jual,sell
kalah,beaten
kalah,defeated
kalah,fail
kalah,lose
kalah,lost
kalah,owned
kalimat,clause
kalimat,sentence
kapal,ark
kapal,boat
kapal,canoe
kapal,craft
kapal,ship
kapal,vessel
karya,creation
karya,opus
karya,product
karya,work
kasihan,feel sorry
kasihan,pity
kaya,prosperous
kaya,rich
kaya,stacked
kaya,wealthy
kaya,well-off
kaya,well-to-do
keadilan,equity
keadilan,fairness
keadilan,justice
keamanan,peace
keamanan,safety
keamanan,security
kebaikan,amicability
kebaikan,charity
kebaikan,cordiality
kebaikan,generosity
kebaikan,good
kebaikan,good deed
kebaikan,goodness
kebaikan,kind
kebaikan,kindness
kebaikan,virtue
kebencian,aversion
kebencian,disgust
kebencian,distaste
kebencian,enmity
kebencian,hate
kebencian,hatred
kebencian,hostility
kebencian,loathing
kebencian,malice
kebencian,resentment
keberanian,audacity
keberanian,balls
keberanian,boldness
keberanian,bravery
keberanian,courage
keberanian,fearlessness
keberanian,guts
keberanian,nerve
keberanian,spunk
keberanian,valor
kebetulan,accident
kebetulan,by chance
kebetulan,chance
kebetulan,coincidence
kebetulan,fluke
kebetulan,luck
kecewa,disappoint
kecewa,disappointed
kecewa,frustated
kecewa,let down
kehancuran,destruction
kehancuran,downfall
kehancuran,ruination
kehancuran,undoing
kehilangan,loss
kehilangan,lost
kehilangan,miss
kehilangan,missing
kejahatan,atrocity
kejahatan,crime
kejahatan,evil
kejahatan,harm
kejahatan,misdeed
kejahatan,offence
kejahatan,villainy
kejahatan,wickedness
kejam,abusive
kejam,barbaric
kejam,brutal
kejam,cruel
kejam,cutthroat
kejam,diabolical
kejam,harsh
kejam,heartless
kejam,heinous
kejam,ruthless
kejam,savage
kejam,vicious
keji,brutal
keji,despicable
keji,foul
keji,mean
keji,nasty
keji,vicious
keji,vile
keji,villainous
keji,wicked
kekayaan,earnings
kekayaan,fortune
kekayaan,money
kekayaan,riches
kekayaan,richess
kekayaan,wealth
kekayaan,wealthy
kekerasan,hardness
kekerasan,harshness
kekerasan,violence
kekuatan,capacity
kekuatan,energy
kekuatan,force
kekuatan,fortitude
kekuatan,might
kekuatan,power
kekuatan,strength
kelaparan,famine
kelaparan,hunger
kelaparan,starvation
kelaparan,starving
keluar,book it out
keluar,come out
keluar,escape
keluar,exit
keluar,get out
keluar,go out
keluar,out
keluar,run
keluar,step outside
kematian,death
kematian,demise
kematian,fatality
kematian,mortality
kembali,back
kembali,change
kembali,come back
kembali,comeback
kembali,go back
kembali,return
kembali,revert
kembali,turn back
kena,affected
kena,catch
kena,get
kena,get hit
kena,infected with
kenal,acquainted with
kenal,familiar with
kenal,know
kenyamanan,amenity
kenyamanan,comfort
kenyamanan,convenience
kenyamanan,cosiness
kenyamanan,ease
kepentingan,behalf
kepentingan,benefit
kepentingan,concerns
kepentingan,importance
kepentingan,interest
kepentingan,prominence
kepentingan,significance
keras,hard
keras,harsh
keras,loud
keras,rigid
keras,rigorous
keras,solid
keras,stern
keras,stiff
keras,strict
keras,strong
keras,tough
keren,amazing
keren,awesome
keren,badass
keren,cool
keren,dashing
keren,fashionable
keren,gnarly
keren,impressive
keren,rad
keren,sharp
keren,stylish
kerugian,deprivation
kerugian,detriment
kerugian,disadvantage
kerugian,loss
kerugian,shortcoming
kerusakan,damage
kerusakan,decay
kerusakan,harm
kesalahan,error
kesalahan,failure
kesalahan,fault
kesalahan,guilt
kesalahan,mistake
kesalahan,wrongdoing
kesan,image
kesan,impression
kesempatan,avenue
kesempatan,chance
kesempatan,occasion
kesempatan,opportunity
kesepian,forlorn
kesepian,loneliness
kesepian,lonely
kesepian,lonesome
kesepian,solitude
kesulitan,adversity
kesulitan,challenge
kesulitan,complication
kesulitan,difficulty
kesulitan,distress
kesulitan,hardship
kesulitan,impediment
kesulitan,issue
kesulitan,problem
kesulitan,trouble
ketakutan,dread
ketakutan,fear
ketakutan,fright
ketakutan,horror
ketakutan,scare
ketat,close-fitting
ketat,form-fitting
ketat,skin-tight
ketat,strict
ketat,tight
ketegangan,strain
ketegangan,stress
ketegangan,suspense
ketegangan,tense
ketegangan,tension
ketegangan,tensity
kompak,cohesive
kompak,compact
kompak,solid
kompak,unified
konflik,argument
konflik,clash
konflik,conflict
konflik,controversy
konflik,discord
konflik,dispute
konflik,friction
konflik,quarrel
konflik,squabbling
konflik,strife
konspirasi,collusion
konspirasi,conspiracy
konspirasi,conspiration
konspirasi,intrigue
konspirasi,machinations
korban,sacrifice
korban,scapegoat
korban,victim
korban jiwa,fatalities
korban jiwa,victim
kosong,blank
kosong,empty
kosong,hollow
kosong,unoccupied
kosong,vacant
kosong,vacuous
kosong,zero
kotor,dirty
kotor,filthy
kotor,foul
kotor,grimy
kotor,gross
kotor,grubby
kotor,messy
kotor,nasty
kotor,smudgy
kotor,unclean
kuat,durable
kuat,firm
kuat,intense
kuat,powerful
kuat,robust
kuat,solid
kuat,steady
kuat,strong
kuat,sturdy
kuat,tough
kurang,deficient
kurang,lacking
kurang,less
kurang,minus
kurang,not enough
kutuk,condemn
kutuk,curse
kutuk,damn
kutukan,condemnation
kutukan,curse
kutukan,damning
langgar,break
langgar,defy
langgar,infringe
langgar,violate
larang,ban
larang,disallow
larang,forbid
larang,prohibit
larangan,ban
larangan,prohibition
lawan,against
lawan,competitor
lawan,contender
lawan,contestant
lawan,contra
lawan,contradictor
lawan,foe
lawan,go against
lawan,opponoent
lawan,opposite
lawan,rival
lawan,take on
lawan,versus
layak,appropriate
layak,decent
layak,feasible
layak,proper
layak,qualified
layak,reasonable
layak,sensible
layak,suitable
layak,worthy
lebih,more
lebih,over
lebih baik,better
lebih baik,preferable
lembut,creamy
lembut,delicate
lembut,fluffy
lembut,gentle
lembut,soft
lembut,tender
lengkap,complete
lengkap,comprehensive
lengkap,exhaustive
lengkap,full
lengkap,intact
lengkap,perfect
lengkap,thorough
lengkap,unabridged
lenyap,disappear
lenyap,evaporate
lenyap,extinct
lenyap,gone
lenyap,vanish
lewat,come by
lewat,come through
lewat,go by
lewat,go past
lewat,late
lewat,miss
lewat,pass
lewat,pass through
lewat,passing
lewat,slip by
lewat,through
lihat,look
lihat,observe
lihat,see
lihat,view
lihat,watch
lihat,witness
lmao,lmao
lmao,lol
luar biasa,cut above
luar biasa,exceptional
luar biasa,extraordinary
luar biasa,fantastic
luar biasa,incredible
luar biasa,phenomenal
luar biasa,remarkable
luar biasa,remarkably
luar biasa,super
luar biasa,terrific
luar biasa,unbelievable
lucu,amusing
lucu,comical
lucu,cute
lucu,funny
lucu,gaga
lucu,hilarious
lucu,humorous
lucu,silly
luka,cut
luka,injury
luka,scar
luka,wound
luka,wounded
lupa,forget
maaf,excuse
maaf,forgive
maaf,pardon
maaf,sorry
mahal,costly
mahal,expensive
mahal,extravagant
mahal,high
mahal,lavish
mahal,pricey
mahal,upscale
mampu,able
mampu,adequate
mampu,afford
mampu,capable
mampu,competent
mampu,well-off
marah,angry
marah,enraged
marah,exasperated
marah,furious
marah,irate
marah,mad
marah,outraged
marah,resentful
marah,seethe
marah,upset
masalah,issue
masalah,matter
masalah,problem
masalah,thing
mati,dead
mati,die
mati,go out
mati,kick the bucket
mati,meet one's maker
mati,perish
mayat,body
mayat,cadaver
mayat,corpse
mayat,remains
melakukan,carry out
melakukan,do
melakukan,execute
melakukan,make
melakukan,perform
melakukan,proceed
melakukan,pull off
melakukan,run
melanggar,break
melanggar,defy
melanggar,disobey
melanggar,infringe
melanggar,transgress
melanggar,violate
melemahkan,debilitate
melemahkan,impair
melemahkan,soften
melemahkan,weaken
melindungi,cover
melindungi,guard
melindungi,preserve
melindungi,protect
melindungi,secure
melindungi,shield
melumpuhkan,cripple
melumpuhkan,debilitate
melumpuhkan,demolish
melumpuhkan,disable
melumpuhkan,immobilize
melumpuhkan,impair
melumpuhkan,paralize
melumpuhkan,paralyze
melumpuhkan,stifle
memastikan,ascertain
memastikan,assure
memastikan,confirm
memastikan,determine
memastikan,ensure
memastikan,make sure
memastikan,set
memastikan,settle
membahayakan,compromise
membahayakan,endanger
membahayakan,harm
membahayakan,jeopardize
membantu,aid
membantu,assist
membantu,contribute
membantu,help
membantu,lend a hand
membantu,support
membatalkan,annul
membatalkan,call off
membatalkan,cancel
membatalkan,rescind
membatalkan,void
membatalkan,withdraw
membenci,despise
membenci,dislike
membenci,hate
membenci,loathe
membuka,begin
membuka,disclose
membuka,open
membuka,start
membunuh,assassinate
membunuh,destroy
membunuh,dispatch
membunuh,execute
membunuh,finish off
membunuh,kill
membunuh,murder
membunuh,off
membunuh,slay
membunuh,smite
membunuh,snuff
memerangi,battle
memerangi,be against
memerangi,combat
memerangi,contend
memerangi,counter
memerangi,fight
memerangi,fight against
memerangi,fight back
memerangi,oppose
memerangi,resist
memerangi,withstand
mempertanyakan,doubt
mempertanyakan,ponder
mempertanyakan,question
mempertanyakan,suspect
memuji,commend
memuji,compliment
memuji,flatter
memuji,praise
menahan,arrest
menahan,detain
menahan,endure
menahan,fight back
menahan,hold
menahan,hold back
menahan,hold on
menahan,keep
menahan,keep under control
menahan,resist
menahan,suppress
menahan,sustain
menahan,withhold
menahan,withstand
menanti,expect
menanti,look forward
menanti,wait
menanti,waiting
menarik,alluring
menarik,appealing
menarik,attractive
menarik,enticing
menarik,eye-catching
menarik,interesting
menarik,intriguing
menarik,riveting
mencurigakan,dubious
mencurigakan,fishy
mencurigakan,sus
mencurigakan,suspicious
mendapatkan,acquire
mendapatkan,attain
mendapatkan,gain
mendapatkan,get
mendapatkan,getting
mendapatkan,obtain
mendapatkan,receive
mendapatkan,win
menderita,anguish
menderita,endure
menderita,suffer
mendoktrin,indoctrinate
mendorong,boost
mendorong,compel
mendorong,drive
mendorong,encourage
mendorong,motivate
mendorong,prompt
mendorong,propel
mendorong,push
mendorong,pushing
mendorong,shove
mendorong,stimulate
mendukung,aid
mendukung,back up
mendukung,bolster
mendukung,contribute
mendukung,help out
mendukung,promote
mendukung,stick up
mendukung,support
mendukung,supporting
mendung,clouded
mendung,cloudy
mendung,gloomy
menembak,shoot
menembak,shooting
menerima,accept
menerima,accepting
menerima,get
menerima,receive
menerima,take
mengakui,acknowledge
mengakui,admit
mengakui,confess
mengakui,fess up
mengakui,own up
mengakui,profess
mengakui,recognize
mengamankan,apprehend
mengamankan,arrest
mengamankan,detain
mengamankan,hold in
mengamankan,pacify
mengamankan,preserve
mengamankan,prosecute
mengamankan,secure
mengeluarkan,dish out
mengeluarkan,eject
mengeluarkan,expel
mengeluarkan,get out
mengeluarkan,issue
mengeluarkan,present
mengeluarkan,pull out
mengeluarkan,release
mengeluarkan,spend
mengeluarkan,throw out
mengembalikan,bring back
mengembalikan,give back
mengembalikan,restore
mengembalikan,return
mengembalikan,send back
mengerikan,awful
mengerikan,bone-chilling
mengerikan,dreadful
mengerikan,gruesome
mengerikan,horrible
mengerikan,horrific
mengerikan,horrifying
mengerikan,morbid
mengerikan,nightmarish
mengerikan,scary
mengerikan,terrible
mengerikan,terrifying
mengerikan,unnerving
menghancurkan,break
menghancurkan,crush
menghancurkan,demolish
menghancurkan,destroy
menghancurkan,devastate
menghancurkan,ruin
menghancurkan,shatter
menghancurkan,smash
menghancurkan,tear
menghancurkan,wreck
menghargai,appreciate
menghargai,cherish
menghargai,commend
menghargai,give credit
menghargai,honor
menghargai,prize
menghargai,respect
menghargai,reward
menghargai,treasure
menghargai,value
menghindari,avoid
menghindari,dodge
menghindari,elude
menghindari,evade
menghindari,keep away
menghindari,run from
mengusir,banish
mengusir,cast out
mengusir,dislodge
mengusir,drive away
mengusir,evict
mengusir,kick out
mengusir,oust
mengusir,repel
mengusir,shoo away
mengusir,throw out
mengutuk,condemn
mengutuk,curse
mengutuk,damn
mengutuk,decry
meninggal,decease
meninggal,depart
meninggal,die
meninggal,lose one's life
meninggal,pass away
meningkatkan,enhance
meningkatkan,escalate
meningkatkan,improve
meningkatkan,increase
meningkatkan,intensify
meningkatkan,jack up
meningkatkan,up
meningkatkan,upgrade
menolak,decline
menolak,deny
menolak,dismiss
menolak,refuse
menolak,reject
menolak,turn down
menunggu,anticipate
menunggu,await
menunggu,bide time
menunggu,expect
menunggu,stand by
menunggu,wait
menunggu,waiting
menurunkan,bring down
menurunkan,decrease
menurunkan,dial down
menurunkan,down
menurunkan,drop
menurunkan,drop off
menurunkan,lower
menurunkan,put down
menurunkan,reduce
menyadari,be aware
menyadari,come to sense
menyadari,realize
menyadari,wake up
menyadari,wise up
menyalahkan,accuse
menyalahkan,blame
menyalahkan,condemn
menyalahkan,fault
menyalahkan,put on the spot
menyalahkan,throw under the bus
menyambut,greet
menyambut,welcome
menyebabkan,bring about
menyebabkan,cause
menyebabkan,causing
menyebabkan,give rise to
menyebabkan,leading to
menyerang,assault
menyerang,attack
menyerang,charge
menyerang,hit
menyerang,rush
menyerang,strike
menyeret,drag
menyeret,haul
menyeret,lug
menyeret,tow
menyesatkan,mislead
menyesatkan,misleading
menyita,confiscate
menyita,seize
meragukan,doubt
meragukan,dubious
meragukan,question
meragukan,suspect
meruntuhkan,demolish
meruntuhkan,knock down
meruntuhkan,overthrow
meruntuhkan,raze
meruntuhkan,tear down
minta,ask
minta,ask for
minta,request
minta maaf,apologize
minta maaf,excuse oneself
minta maaf,i'm sorry
minta maaf,pardon me
miskin,broke
miskin,destitute
miskin,impoverished
miskin,needy
miskin,poor
moga,hope
muda,early
muda,pale
muda,young
mudah,convenient
mudah,easy
mudah,ez
mudah,simple
mudah,straightforward
muka,advance
muka,countenance
muka,face
muka,front
muka,look
muka,mug
muka,surface
muka,visage
mulia,esteemed
mulia,glorious
mulia,holy
mulia,honorable
mulia,noble
mulia,precious
mundur,back off
mundur,fall back
mundur,go back
mundur,retreat
mundur,set back
mundur,step back
murah,affordable
murah,cheap
murah,generous
murah,inexpensive
murka,angry
murka,furious
murka,mad
murka,wrath
musuh,adversary
musuh,competitor
musuh,contender
musuh,enemy
musuh,foe
musuh,opponent
musuh,rival
nanti,afterward
nanti,future
nanti,in the future
nanti,later
nanti,some other time
nekat,desperate
nekat,reckless
neraka,blaze
neraka,hell
neraka,inferno
ngeri,eerie
ngeri,fearful
ngeri,horrible
ngeri,scary
ngeri,spooky
ngeri,terrible
ngerti,get it
ngerti,understand
nilai,grade
nilai,mark
nilai,score
nilai,value
nilai,worth
oke,good
oke,ok
oke,okay
oke,okey dokey
oleh,by
orang bodoh,birdbrain
orang bodoh,doofus
orang bodoh,dumbass
orang bodoh,dummy
orang bodoh,dunce
orang bodoh,goof
orang bodoh,idiot
orang bodoh,nincompoop
orang bodoh,pinhead
orang bodoh,schmuck
orang bodoh,stupid people
pada,at
pada,in
pada,on
pada,you all
padat,compact
padat,congested
padat,crowded
padat,dense
padat,populous
padat,solid
padat,tight
pahlawan,hero
pahlawan,heroes
pahlawan,patriot
palsu,artificial
palsu,bogus
palsu,counterfeit
palsu,dummy
palsu,fake
palsu,false
palsu,imitation
palsu,made-up
palsu,phony
palsu,sham
panas,burning
panas,flaming
panas,heat
panas,hot
panas,scorching
panas,temperature
panas,thermal
panas,warm
panik,frigthened
panik,panic
panik,scare
panjang,extensive
panjang,length
panjang,lengthy
panjang,long
pantat,arse
pantat,ass
pantat,asscheeks
pantat,backside
pantat,behind
pantat,bottom
pantat,bum
pantat,butt
pantat,buttock
pantat,buttocks
pantat,rear
pantat,rump
parodi,farce
